rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,117,20260529,20260528,94.5,低,反発狙い,陰線4連続後,5,-34040,images/117.png,第1サポート:4185下(-38225) / 第2サポート:24492下(-58532) / 第3サポート:28093下(-62133) / 第4サポート:41710下(-75750) / 最重要サポート:44695下(-78735),True,-34040.0,-26572.0,-35312.0,-29846.0,4194.0,陽線,的中
2,70,20260529,20260528,72.17,高,順張り寄り,陽線4連続後,6,99560,images/70.png,第1サポート:17478下(82082) / 第2サポート:27556下(72004) / 第3サポート:40035下(59525) / 第4サポート:45326下(54234) / 最重要サポート:51665下(47895),True,99560.0,115852.0,93739.0,109185.0,9625.0,陽線,的中
3,77,20260529,20260528,59.35,高,順張り寄り,陽線3連続後,13,-326383,images/77.png,第1サポート:2743下(-329126) / 第2サポート:11895下(-338278) / 第3サポート:15954下(-342337) / 第4サポート:21858下(-348241) / 最重要サポート:30087下(-356470),True,-326383.0,-303117.0,-329988.0,-303797.0,22586.0,陽線,的中
4,63,20260529,20260528,57.67,高,順張り寄り,陰線2連続後,46,-97034,images/63.png,第1サポート:5669下(-102703) / 第2サポート:10878下(-107912) / 第3サポート:13969下(-111003) / 第4サポート:19029下(-116063) / 最重要サポート:26296下(-123330),True,-97034.0,-80273.0,-98301.0,-85156.0,11878.0,陽線,的中
5,58,20260529,20260528,56.2,高,中立,陽線1連続後,71,-398012,images/58.png,第1サポート:11479下(-409491) / 第2サポート:15880下(-413892) / 第3サポート:25194下(-423206) / 第4サポート:33077下(-431089) / 最重要サポート:39202下(-437214),True,-398012.0,-372229.0,-398556.0,-379100.0,18912.0,陽線,的中
6,60,20260529,20260528,55.5,中,中立,陽線2連続後,24,-393323,images/60.png,第1サポート:6690下(-400013) / 第2サポート:14772下(-408095) / 第3サポート:17487下(-410810) / 第4サポート:20574下(-413897) / 最重要サポート:23815下(-417138),True,-393323.0,-387554.0,-408263.0,-388027.0,5296.0,陽線,的中
7,136,20260529,20260528,55.5,中,中立,陽線2連続後,12,-331910,images/136.png,第1サポート:6486下(-338396) / 第2サポート:13614下(-345524) / 第3サポート:22237下(-354147) / 第4サポート:25720下(-357630) / 最重要サポート:34082下(-365992),True,-331910.0,-330869.0,-341791.0,-330964.0,946.0,陽線,的中
8,71,20260529,20260528,54.5,低〜中,反発狙い,陰線3連続後,30,-212168,images/71.png,第1サポート:8209下(-220377) / 第2サポート:27069下(-239237) / 第3サポート:31449下(-243617),True,-212168.0,-203066.0,-219260.0,-209733.0,2435.0,陽線,的中
9,123,20260529,20260528,54.5,低,反発狙い・要注意,陰線6連続後,5,-432104,images/123.png,第1サポート:188下(-432292),True,-432104.0,-409042.0,-436933.0,-411355.0,20749.0,陽線,的中
10,156,20260529,20260528,54.44,低〜中,弱トレンド,陰線後,17,-73862,images/156.png,第1サポート:1643下(-75505) / 第2サポート:4855下(-78717) / 第3サポート:12869下(-86731) / 第4サポート:20077下(-93939) / 最重要サポート:28334下(-102196),True,-73862.0,-73814.0,-80528.0,-80434.0,-6572.0,陰線,外れ
11,47,20260529,20260528,54.41,高,中立,陽線後,137,-110349,images/47.png,第1サポート:10449下(-120798) / 第2サポート:13310下(-123659) / 第3サポート:26062下(-136411) / 第4サポート:28914下(-139263) / 最重要サポート:48257下(-158606),True,-110349.0,-107393.0,-115833.0,-107488.0,2861.0,陽線,的中
