rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,157,20260517,20260516,88.83,中,中立,陽線後,6,-74720,images/157.png,第1サポート:5698下(-80418) / 第2サポート:10570下(-85290) / 第3サポート:19628下(-94348) / 第4サポート:23090下(-97810) / 最重要サポート:27596下(-102316),True,-74720.0,-65283.0,-86316.0,-72982.0,1738.0,陽線,的中
2,113,20260517,20260516,59.21,低,弱トレンド,陰線2連続後,17,164400,images/113.png,第1サポート:8850下(155550) / 第2サポート:12058下(152342) / 第3サポート:15152下(149248) / 第4サポート:22201下(142199) / 最重要サポート:31706下(132694),True,164400.0,187462.0,159911.0,179026.0,14626.0,陽線,的中
3,69,20260517,20260516,58.44,高,順張り寄り,陽線2連続後,34,323230,images/69.png,第1サポート:6325下(316905) / 第2サポート:14155下(309075) / 第3サポート:20889下(302341) / 第4サポート:30308下(292922) / 最重要サポート:33423下(289807),True,323230.0,323324.0,312057.0,318630.0,-4600.0,陰線,外れ
4,137,20260517,20260516,55.37,低,弱トレンド,陰線2連続後,23,-348459,images/137.png,第1サポート:9128下(-357587) / 第2サポート:14001下(-362460) / 第3サポート:18558下(-367017) / 第4サポート:29255下(-377714),True,-348459.0,-343801.0,-353919.0,-344889.0,3570.0,陽線,的中
5,116,20260517,20260516,55.35,低〜中,弱トレンド,陽線2連続後,13,-229963,images/116.png,第1サポート:2023下(-231986) / 第2サポート:5540下(-235503) / 第3サポート:11690下(-241653) / 第4サポート:15698下(-245661) / 最重要サポート:22244下(-252207),True,-229963.0,-221074.0,-243343.0,-221263.0,8700.0,陽線,的中
6,153,20260517,20260516,54.5,低,反発狙い・要注意,陰線5連続後,5,199395,images/153.png,第1サポート:188下(199207),True,199395.0,212165.0,197518.0,210428.0,11033.0,陽線,的中
7,110,20260517,20260516,53.98,高,中立,陰線1連続後,33,272861,images/110.png,第1サポート:4562下(268299) / 第2サポート:9130下(263731) / 第3サポート:22755下(250106) / 第4サポート:33652下(239209) / 最重要サポート:45308下(227553),True,272861.0,272815.0,253425.0,258401.0,-14460.0,陰線,外れ
8,75,20260517,20260516,53.5,中,中立,陰線1連続後,80,-5847,images/75.png,第1サポート:3011下(-8858) / 第2サポート:7048下(-12895) / 第3サポート:9843下(-15690) / 第4サポート:16004下(-21851) / 最重要サポート:24039下(-29886),True,-5847.0,442.0,-9984.0,-5894.0,-47.0,陰線,外れ
9,68,20260517,20260516,52.25,低〜中,弱トレンド,陽線1連続後,67,-56615,images/68.png,第1サポート:7700下(-64315) / 第2サポート:10470下(-67085) / 第3サポート:15487下(-72102),True,-56615.0,-50799.0,-62123.0,-55314.0,1301.0,陽線,的中
10,57,20260517,20260516,52.17,高,中立,陽線3連続後,15,5846,images/57.png,第1サポート:14976下(-9130) / 第2サポート:24086下(-18240) / 第3サポート:34419下(-28573) / 第4サポート:49568下(-43722) / 最重要サポート:56907下(-51061),True,5846.0,5940.0,-12463.0,-12276.0,-18122.0,陰線,外れ
