rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,47,20260428,20260427,65.5,高,順張り寄り,陽線4連続後,5,-202244,images/47.png,第1サポート:5626下(-207870) / 第2サポート:11862下(-214106) / 第3サポート:16362下(-218606) / 第4サポート:23157下(-225401) / 最重要サポート:28748下(-230992),True,-202244.0,-202150.0,-215201.0,-204591.0,-2347.0,陰線,外れ
2,40,20260428,20260427,59.47,高,順張り寄り,陽線1連続後,63,131736,images/40.png,第1サポート:2099下(129637) / 第2サポート:7064下(124672) / 第3サポート:13334下(118402) / 第4サポート:18424下(113312) / 最重要サポート:27935下(103801),True,131736.0,133427.0,118591.0,118967.0,-12769.0,陰線,外れ
3,66,20260428,20260427,58.75,高,順張り寄り,陰線1連続後,77,-174156,images/66.png,第1サポート:7148下(-181304) / 第2サポート:13902下(-188058) / 第3サポート:17249下(-191405) / 第4サポート:21099下(-195255) / 最重要サポート:29629下(-203785),True,-174156.0,-171996.0,-191104.0,-188334.0,-14178.0,陰線,外れ
4,113,20260428,20260427,58.5,低,反発狙い,陰線3連続後,5,175690,images/113.png,第1サポート:9342下(166348) / 第2サポート:18150下(157540) / 第3サポート:38837下(136853) / 第4サポート:42996下(132694) / 最重要サポート:60323下(115367),True,175690.0,181606.0,161888.0,162075.0,-13615.0,陰線,外れ
5,133,20260428,20260427,56.93,高,中立,陰線1連続後,35,-23518,images/133.png,第1サポート:6404下(-29922) / 第2サポート:11719下(-35237) / 第3サポート:24324下(-47842) / 第4サポート:34721下(-58239) / 最重要サポート:39187下(-62705),True,-23518.0,10020.0,-26647.0,8659.0,32177.0,陽線,的中
6,121,20260428,20260427,55.55,高,中立,陰線1連続後,37,-37016,images/121.png,第1サポート:3225下(-40241) / 第2サポート:20432下(-57448),True,-37016.0,-31569.0,-49879.0,-31757.0,5259.0,陽線,的中
7,116,20260428,20260427,55.5,高,順張り寄り,陽線1連続後,26,-149461,images/116.png,第1サポート:10043下(-159504) / 第2サポート:13918下(-163379) / 第3サポート:17471下(-166932) / 第4サポート:24521下(-173982) / 最重要サポート:31655下(-181116),True,-149461.0,-149413.0,-157941.0,-157847.0,-8386.0,陰線,外れ
8,71,20260428,20260427,55.21,低,反発狙い・要注意,陰線3連続後,28,-232938,images/71.png,第1サポート:6338下(-239276),True,-232938.0,-222327.0,-235520.0,-227116.0,5822.0,陽線,的中
9,48,20260428,20260427,54.78,高,中立,陽線1連続後,69,-278831,images/48.png,第1サポート:12740下(-291571) / 第2サポート:18111下(-296942) / 第3サポート:21281下(-300112) / 第4サポート:24721下(-303552) / 最重要サポート:32027下(-310858),True,-278831.0,-273228.0,-280580.0,-276466.0,2365.0,陽線,的中
10,130,20260428,20260427,54.5,低,反発狙い・要注意,陰線4連続後,10,-163217,images/130.png,第1サポート:3182下(-166399) / 第2サポート:8010下(-171227),True,-163217.0,-154919.0,-166857.0,-156101.0,7116.0,陽線,的中
11,69,20260428,20260427,54.28,高,中立,陰線2連続後,41,313831,images/69.png,第1サポート:3782下(310049) / 第2サポート:14163下(299668) / 第3サポート:33842下(279989) / 第4サポート:44264下(269567) / 最重要サポート:50789下(263042),True,313831.0,314036.0,293287.0,293559.0,-20272.0,陰線,外れ
12,74,20260428,20260427,54.15,高,中立,陰線1連続後,74,-41030,images/74.png,第1サポート:6497下(-47527) / 第2サポート:13569下(-54599) / 第3サポート:17167下(-58197) / 第4サポート:20615下(-61645) / 最重要サポート:23343下(-64373),True,-41030.0,-24832.0,-43283.0,-35349.0,5681.0,陽線,的中
13,57,20260428,20260427,51.5,高,中立,陰線2連続後,42,-72698,images/57.png,第1サポート:4404下(-77102) / 第2サポート:9329下(-82027) / 第3サポート:16961下(-89659) / 第4サポート:24506下(-97204) / 最重要サポート:36976下(-109674),True,-72698.0,-62932.0,-84388.0,-67298.0,5400.0,陽線,的中
14,49,20260428,20260427,48.66,中,中立,陰線2連続後,43,-65969,images/49.png,第1サポート:3924下(-69893) / 第2サポート:7177下(-73146) / 第3サポート:12049下(-78018) / 第4サポート:16944下(-82913) / 最重要サポート:21229下(-87198),True,-65969.0,-65874.0,-85165.0,-81666.0,-15697.0,陰線,外れ
15,42,20260428,20260427,47.97,高,中立,陽線1連続後,73,163447,images/42.png,第1サポート:3049下(160398) / 第2サポート:7029下(156418) / 第3サポート:13249下(150198) / 第4サポート:26720下(136727),True,163447.0,180114.0,160912.0,174903.0,11456.0,陽線,的中
16,63,20260428,20260427,47.97,中,中立,陽線1連続後,73,-125612,images/63.png,第1サポート:1726下(-127338) / 第2サポート:7508下(-133120) / 第3サポート:10360下(-135972) / 第4サポート:17866下(-143478) / 最重要サポート:23017下(-148629),True,-125612.0,-122690.0,-131195.0,-130676.0,-5064.0,陰線,外れ
17,38,20260428,20260427,47.65,低〜中,弱トレンド,陽線2連続後,26,-229233,images/38.png,第1サポート:9480下(-238713) / 第2サポート:12850下(-242083) / 第3サポート:25728下(-254961),True,-229233.0,-228311.0,-236821.0,-233251.0,-4018.0,陰線,外れ
18,54,20260428,20260427,47.24,中,中立,陽線後,115,-228278,images/54.png,第1サポート:2343下(-230621) / 第2サポート:8990下(-237268) / 第3サポート:12531下(-240809) / 第4サポート:19675下(-247953) / 最重要サポート:27134下(-255412),True,-228278.0,-212831.0,-237573.0,-213160.0,15118.0,陽線,的中
19,118,20260428,20260427,47.17,中,中立,陰線1連続後,36,-14448,images/118.png,第1サポート:3569下(-18017) / 第2サポート:8967下(-23415) / 第3サポート:15167下(-29615) / 第4サポート:26229下(-40677) / 最重要サポート:39200下(-53648),True,-14448.0,-2466.0,-30889.0,-30709.0,-16261.0,陰線,外れ
20,51,20260428,20260427,46.93,中,中立,陰線1連続後,70,42573,images/51.png,第1サポート:2105下(40468) / 第2サポート:6786下(35787) / 第3サポート:10244下(32329) / 第4サポート:15446下(27127) / 最重要サポート:22336下(20237),True,42573.0,42975.0,37254.0,39760.0,-2813.0,陰線,外れ
21,110,20260428,20260427,46.78,中,中立,陽線1連続後,29,191018,images/110.png,第1サポート:15229下(175789) / 第2サポート:20728下(170290) / 第3サポート:28250下(162768) / 第4サポート:36326下(154692) / 最重要サポート:53559下(137459),True,191018.0,222919.0,178622.0,222644.0,31626.0,陽線,的中
22,59,20260428,20260427,46.74,高,中立,陰線2連続後,42,-354854,images/59.png,第1サポート:5524下(-360378) / 第2サポート:11267下(-366121) / 第3サポート:14221下(-369075) / 第4サポート:17907下(-372761) / 最重要サポート:23928下(-378782),True,-354854.0,-313891.0,-356159.0,-314372.0,40482.0,陽線,的中
23,62,20260428,20260427,46.12,低,弱トレンド,陽線1連続後,63,-333396,images/62.png,第1サポート:8804下(-342200) / 第2サポート:11547下(-344943) / 第3サポート:20318下(-353714) / 第4サポート:25001下(-358397) / 最重要サポート:33157下(-366553),True,-333396.0,-329211.0,-336114.0,-334010.0,-614.0,陰線,外れ
24,117,20260428,20260427,45.72,中,中立,陰線1連続後,36,-99547,images/117.png,第1サポート:3472下(-103019) / 第2サポート:6667下(-106214) / 第3サポート:14052下(-113599) / 第4サポート:22425下(-121972) / 最重要サポート:26675下(-126222),True,-99547.0,-98044.0,-116636.0,-100908.0,-1361.0,陰線,外れ
25,46,20260428,20260427,45.67,中,中立,陽線後,117,-291325,images/46.png,第1サポート:1769下(-293094) / 第2サポート:6671下(-297996) / 第3サポート:14765下(-306090) / 第4サポート:21979下(-313304) / 最重要サポート:29907下(-321232),True,-291325.0,-291231.0,-302733.0,-300714.0,-9389.0,陰線,外れ
26,70,20260428,20260427,44.5,低,弱トレンド,陰線1連続後,78,-20261,images/70.png,第1サポート:3861下(-24122) / 第2サポート:10809下(-31070),True,-20261.0,-8476.0,-23829.0,-19650.0,611.0,陽線,的中
27,146,20260428,20260427,44.39,中,中立,陽線1連続後,36,-222390,images/146.png,第1サポート:12566下(-234956) / 第2サポート:21995下(-244385) / 第3サポート:26558下(-248948) / 第4サポート:32657下(-255047) / 最重要サポート:39187下(-261577),True,-222390.0,-222342.0,-225368.0,-225274.0,-2884.0,陰線,外れ
28,75,20260428,20260427,44.36,低〜中,弱トレンド,陽線1連続後,77,-52688,images/75.png,第1サポート:4255下(-56943) / 第2サポート:13877下(-66565) / 第3サポート:17755下(-70443),True,-52688.0,-25205.0,-53028.0,-27653.0,25035.0,陽線,的中
29,76,20260428,20260427,43.96,高,中立,陽線3連続後,13,-210916,images/76.png,第1サポート:6211下(-217127) / 第2サポート:9960下(-220876) / 第3サポート:14910下(-225826) / 第4サポート:20543下(-231459) / 最重要サポート:26047下(-236963),True,-210916.0,-201412.0,-216589.0,-206069.0,4847.0,陽線,的中
30,44,20260428,20260427,41.5,中,中立,陰線1連続後,70,69145,images/44.png,第1サポート:7045下(62100) / 第2サポート:9788下(59357) / 第3サポート:17395下(51750) / 第4サポート:23348下(45797) / 最重要サポート:38228下(30917),True,69145.0,73543.0,65032.0,70729.0,1584.0,陽線,的中
31,37,20260428,20260427,41.21,高,中立,陽線2連続後,28,-179650,images/37.png,第1サポート:5946下(-185596) / 第2サポート:10071下(-189721) / 第3サポート:13538下(-193188) / 第4サポート:24314下(-203964) / 最重要サポート:33527下(-213177),True,-179650.0,-177876.0,-186340.0,-182108.0,-2458.0,陰線,外れ
32,64,20260428,20260427,41.17,低,弱トレンド,陰線1連続後,75,-193974,images/64.png,第1サポート:6323下(-200297) / 第2サポート:8896下(-202870),True,-193974.0,-167647.0,-199892.0,-168735.0,25239.0,陽線,的中
33,115,20260428,20260427,40.92,中,中立,陰線1連続後,33,-121166,images/115.png,第1サポート:3180下(-124346) / 第2サポート:7434下(-128600) / 第3サポート:11114下(-132280) / 第4サポート:24248下(-145414) / 最重要サポート:28342下(-149508),True,-121166.0,-121118.0,-129251.0,-124972.0,-3806.0,陰線,外れ
34,35,20260428,20260427,40.63,中,中立,陽線1連続後,69,-99117,images/35.png,第1サポート:1509下(-100626) / 第2サポート:5361下(-104478) / 第3サポート:9948下(-109065) / 第4サポート:13682下(-112799) / 最重要サポート:17048下(-116165),True,-99117.0,-96161.0,-102568.0,-96256.0,2861.0,陽線,的中
35,109,20260428,20260427,39.98,高,中立,陽線1連続後,29,-286802,images/109.png,第1サポート:7746下(-294548) / 第2サポート:17136下(-303938) / 第3サポート:22160下(-308962) / 第4サポート:25501下(-312303) / 最重要サポート:32552下(-319354),True,-286802.0,-286599.0,-307812.0,-306465.0,-19663.0,陰線,外れ
36,52,20260428,20260427,39.6,低〜中,弱トレンド,陰線1連続後,63,-327924,images/52.png,第1サポート:3045下(-330969) / 第2サポート:8542下(-336466) / 第3サポート:11225下(-339149) / 第4サポート:21935下(-349859) / 最重要サポート:39168下(-367092),True,-327924.0,-316186.0,-335576.0,-319989.0,7935.0,陽線,的中
37,53,20260428,20260427,39.49,低〜中,中立,陽線1連続後,73,-84926,images/53.png,第1サポート:2095下(-87021) / 第2サポート:7246下(-92172) / 第3サポート:11386下(-96312) / 第4サポート:16593下(-101519) / 最重要サポート:27095下(-112021),True,-84926.0,-62613.0,-85266.0,-66626.0,18300.0,陽線,的中
38,112,20260428,20260427,39.0,低〜中,弱トレンド,陽線1連続後,32,-241451,images/112.png,第1サポート:3616下(-245067) / 第2サポート:9654下(-251105) / 第3サポート:43169下(-284620),True,-241451.0,-237101.0,-250245.0,-250150.0,-8699.0,陰線,外れ
39,149,20260428,20260427,39.0,低〜中,弱トレンド,陰線1連続後,40,9665,images/149.png,第1サポート:12106下(-2441) / 第2サポート:34838下(-25173),True,9665.0,9760.0,-2155.0,-1918.0,-11583.0,陰線,外れ
40,148,20260428,20260427,38.88,低〜中,弱トレンド,陰線2連続後,29,-390340,images/148.png,第1サポート:18355下(-408695),True,-390340.0,-390246.0,-405739.0,-391983.0,-1643.0,陰線,外れ
41,55,20260428,20260427,38.79,低〜中,中立,陰線1連続後,70,-43542,images/55.png,第1サポート:4685下(-48227) / 第2サポート:7873下(-51415) / 第3サポート:25724下(-69266) / 第4サポート:30777下(-74319),True,-43542.0,-34133.0,-49641.0,-49546.0,-6004.0,陰線,外れ
42,39,20260428,20260427,38.09,低,弱トレンド,陰線2連続後,39,-89496,images/39.png,第1サポート:2583下(-92079) / 第2サポート:6962下(-96458) / 第3サポート:16794下(-106290) / 第4サポート:22144下(-111640) / 最重要サポート:28952下(-118448),True,-89496.0,-86162.0,-106538.0,-106350.0,-16854.0,陰線,外れ
43,111,20260428,20260427,37.83,低,弱トレンド,陽線1連続後,30,-346620,images/111.png,第1サポート:1968下(-348588) / 第2サポート:5970下(-352590),True,-346620.0,-346526.0,-357465.0,-357277.0,-10657.0,陰線,外れ
