rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,158,20260505,20260504,95.0,高,順張り寄り,陽線後,5,75295,images/158.png,第1サポート:15513下(59782) / 第2サポート:31955下(43340) / 第3サポート:39603下(35692) / 第4サポート:45243下(30052) / 最重要サポート:48229下(27066),True,75295.0,98629.0,68629.0,79105.0,3810.0,陽線,的中
2,134,20260505,20260504,73.5,低,反発狙い,陰線4連続後,8,-252380,images/134.png,第1サポート:15454下(-267834) / 第2サポート:21996下(-274376) / 第3サポート:27023下(-279403) / 第4サポート:32110下(-284490) / 最重要サポート:44552下(-296932),True,-252380.0,-252332.0,-259519.0,-257533.0,-5153.0,陰線,外れ
3,110,20260505,20260504,65.5,高,順張り寄り,陽線2連続後,15,234919,images/110.png,第1サポート:19048下(215871) / 第2サポート:28813下(206106) / 第3サポート:42117下(192802) / 第4サポート:52358下(182561) / 最重要サポート:60073下(174846),True,234919.0,241727.0,222384.0,222572.0,-12347.0,陰線,外れ
4,156,20260505,20260504,59.64,低〜中,順張り寄り,全体陽線率,7,26904,images/156.png,第1サポート:3717下(23187) / 第2サポート:8408下(18496) / 第3サポート:14427下(12477) / 第4サポート:18998下(7906) / 最重要サポート:22253下(4651),True,26904.0,27789.0,-6701.0,-6429.0,-33333.0,陰線,外れ
5,49,20260505,20260504,58.79,低,反発狙い・要注意,陰線4連続後,14,-117813,images/49.png,第1サポート:269下(-118082),True,-117813.0,-99373.0,-120271.0,-99751.0,18062.0,陽線,的中
6,133,20260505,20260504,56.85,高,順張り寄り,陰線1連続後,37,1971,images/133.png,第1サポート:3060下(-1089) / 第2サポート:23139下(-21168) / 第3サポート:25734下(-23763) / 第4サポート:28618下(-26647) / 最重要サポート:37438下(-35467),True,1971.0,1784.0,-16761.0,-16573.0,-18544.0,陰線,外れ
7,74,20260505,20260504,56.15,高,順張り寄り,陰線1連続後,77,480,images/74.png,第1サポート:15035下(-14555) / 第2サポート:23493下(-23013) / 第3サポート:33042下(-32562) / 第4サポート:39586下(-39106) / 最重要サポート:48303下(-47823),True,480.0,528.0,-7463.0,-5879.0,-6359.0,陰線,外れ
8,47,20260505,20260504,54.73,高,中立,陽線1連続後,65,-203197,images/47.png,第1サポート:6259下(-209456) / 第2サポート:11006下(-214203) / 第3サポート:15077下(-218274) / 第4サポート:22204下(-225401) / 最重要サポート:26674下(-229871),True,-203197.0,-194568.0,-205324.0,-202038.0,1159.0,陽線,的中
9,62,20260505,20260504,53.19,高,中立,陽線1連続後,65,-306850,images/62.png,第1サポート:6062下(-312912) / 第2サポート:19210下(-326060) / 第3サポート:22912下(-329762) / 第4サポート:30026下(-336876) / 最重要サポート:36090下(-342940),True,-306850.0,-290793.0,-309056.0,-291310.0,15540.0,陽線,的中
10,69,20260505,20260504,53.02,高,中立,陽線2連続後,33,287985,images/69.png,第1サポート:1506下(286479) / 第2サポート:4232下(283753) / 第3サポート:7901下(280084) / 第4サポート:17984下(270001) / 最重要サポート:31389下(256596),True,287985.0,296520.0,285740.0,290846.0,2861.0,陽線,的中
11,46,20260505,20260504,51.64,低,反発狙い・要注意,陰線5連続後,7,-341068,images/46.png,第1サポート:188下(-341256),True,-341068.0,-338656.0,-345465.0,-345370.0,-4302.0,陰線,外れ
12,113,20260505,20260504,50.62,高,中立,陽線1連続後,32,162347,images/113.png,第1サポート:3560下(158787) / 第2サポート:6797下(155550) / 第3サポート:13099下(149248) / 第4サポート:19937下(142410) / 最重要サポート:29653下(132694),True,162347.0,205784.0,161110.0,194994.0,32647.0,陽線,的中
13,57,20260505,20260504,49.66,中,中立,陰線2連続後,43,-73684,images/57.png,第1サポート:1502下(-75186) / 第2サポート:5459下(-79143) / 第3サポート:16156下(-89840) / 第4サポート:18930下(-92614) / 最重要サポート:22676下(-96360),True,-73684.0,-55843.0,-75702.0,-56313.0,17371.0,陽線,的中
14,75,20260505,20260504,49.62,中,中立,陽線2連続後,34,-13078,images/75.png,第1サポート:5423下(-18501) / 第2サポート:12540下(-25618) / 第3サポート:17639下(-30717) / 第4サポート:23844下(-36922) / 最重要サポート:32014下(-45092),True,-13078.0,-1387.0,-18336.0,-5566.0,7512.0,陽線,的中
15,45,20260505,20260504,48.92,中,中立,陰線1連続後,76,-179352,images/45.png,第1サポート:1690下(-181042) / 第2サポート:5910下(-185262) / 第3サポート:9907下(-189259) / 第4サポート:13720下(-193072) / 最重要サポート:23036下(-202388),True,-179352.0,-154045.0,-180168.0,-154317.0,25035.0,陽線,的中
16,118,20260505,20260504,48.36,高,中立,陽線2連続後,14,89082,images/118.png,第1サポート:44467下(44615) / 第2サポート:47570下(41512) / 第3サポート:58493下(30589) / 第4サポート:77424下(11658) / 最重要サポート:85154下(3928),True,89082.0,89176.0,76829.0,78144.0,-10938.0,陰線,外れ
17,153,20260505,20260504,48.36,中,中立,陽線3連続後,7,319550,images/153.png,第1サポート:39647下(279903) / 第2サポート:42370下(277180) / 第3サポート:45916下(273634) / 第4サポート:50358下(269192) / 最重要サポート:69424下(250126),True,319550.0,319644.0,302837.0,306640.0,-12910.0,陰線,外れ
18,121,20260505,20260504,48.35,低〜中,中立,陰線1連続後,39,-31031,images/121.png,第1サポート:9210下(-40241) / 第2サポート:11878下(-42909) / 第3サポート:18848下(-49879) / 第4サポート:26226下(-57257),True,-31031.0,-22567.0,-38383.0,-30156.0,875.0,陽線,的中
19,66,20260505,20260504,47.95,中,中立,陽線1連続後,77,-183738,images/66.png,第1サポート:2514下(-186252) / 第2サポート:6856下(-190594) / 第3サポート:10379下(-194117) / 第4サポート:18269下(-202007) / 最重要サポート:23133下(-206871),True,-183738.0,-167212.0,-187963.0,-169465.0,14273.0,陽線,的中
20,68,20260505,20260504,47.62,低,弱トレンド,陽線1連続後,64,-30606,images/68.png,第1サポート:10739下(-41345),True,-30606.0,-28147.0,-37201.0,-33419.0,-2813.0,陰線,外れ
21,63,20260505,20260504,46.66,低〜中,中立,陰線1連続後,77,-136411,images/63.png,第1サポート:2254下(-138665) / 第2サポート:6759下(-143170) / 第3サポート:12823下(-149234) / 第4サポート:21203下(-157614) / 最重要サポート:24745下(-161156),True,-136411.0,-122326.0,-140026.0,-127913.0,8498.0,陽線,的中
22,34,20260505,20260504,46.09,低〜中,弱トレンド,陽線1連続後,74,-41739,images/34.png,第1サポート:6006下(-47745) / 第2サポート:10165下(-51904) / 第3サポート:15588下(-57327),True,-41739.0,-35497.0,-44717.0,-44623.0,-2884.0,陰線,外れ
