rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,75,20260514,20260513,61.2,高,順張り寄り,陰線1連続後,79,6230,images/75.png,第1サポート:4081下(2149) / 第2サポート:11344下(-5114) / 第3サポート:16143下(-9913) / 第4サポート:19125下(-12895) / 最重要サポート:28838下(-22608),True,6230.0,6278.0,3606.0,3701.0,-2529.0,陰線,外れ
2,66,20260514,20260513,59.61,高,順張り寄り,陰線2連続後,36,-166539,images/66.png,第1サポート:3384下(-169923) / 第2サポート:8052下(-174591) / 第3サポート:12229下(-178768) / 第4サポート:18986下(-185525) / 最重要サポート:27578下(-194117),True,-166539.0,-165286.0,-172827.0,-166231.0,308.0,陽線,的中
3,113,20260514,20260513,57.0,低〜中,中立,陰線2連続後,16,179188,images/113.png,第1サポート:14428下(164760) / 第2サポート:23638下(155550) / 第3サポート:29451下(149737) / 第4サポート:36989下(142199) / 最重要サポート:47514下(131674),True,179188.0,210413.0,171910.0,207692.0,28504.0,陽線,的中
4,60,20260514,20260513,56.05,低〜中,弱トレンド,陽線2連続後,22,-383988,images/60.png,第1サポート:8051下(-392039) / 第2サポート:20328下(-404316) / 第3サポート:23359下(-407347) / 第4サポート:26822下(-410810) / 最重要サポート:32087下(-416075),True,-383988.0,-383940.0,-385335.0,-385240.0,-1252.0,陰線,外れ
5,70,20260514,20260513,54.31,高,中立,陰線1連続後,83,42898,images/70.png,第1サポート:9709下(33189) / 第2サポート:21989下(20909) / 第3サポート:31914下(10984) / 第4サポート:38112下(4786) / 最重要サポート:43109下(-211),True,42898.0,56420.0,42053.0,51819.0,8921.0,陽線,的中
6,137,20260514,20260513,53.59,低,弱トレンド,陰線2連続後,22,-342685,images/137.png,第1サポート:6604下(-349289) / 第2サポート:12245下(-354930) / 第3サポート:14830下(-357515) / 第4サポート:19775下(-362460) / 最重要サポート:24332下(-367017),True,-342685.0,-325971.0,-349163.0,-326159.0,16526.0,陽線,的中
7,41,20260514,20260513,53.4,高,中立,陰線2連続後,51,-338651,images/41.png,第1サポート:2653下(-341304) / 第2サポート:13743下(-352394) / 第3サポート:18049下(-356700) / 第4サポート:21105下(-359756) / 最重要サポート:27872下(-366523),True,-338651.0,-338603.0,-345955.0,-345861.0,-7210.0,陰線,外れ
8,109,20260514,20260513,52.56,高,中立,陰線1連続後,34,-177935,images/109.png,第1サポート:12643下(-190578) / 第2サポート:15766下(-193701) / 第3サポート:67528下(-245463) / 第4サポート:99776下(-277711) / 最重要サポート:111111下(-289046),True,-177935.0,-177841.0,-190188.0,-190000.0,-12065.0,陰線,外れ
9,121,20260514,20260513,52.16,高,中立,陰線1連続後,41,-497,images/121.png,第1サポート:2609下(-3106) / 第2サポート:9887下(-10384) / 第3サポート:13070下(-13567) / 第4サポート:20977下(-21474) / 最重要サポート:29979下(-30476),True,-497.0,1347.0,-5603.0,-5508.0,-5011.0,陰線,外れ
10,57,20260514,20260513,51.83,高,中立,陰線2連続後,45,-43382,images/57.png,第1サポート:5234下(-48616) / 第2サポート:8075下(-51457) / 第3サポート:15624下(-59006) / 第4サポート:18977下(-62359) / 最重要サポート:26928下(-70310),True,-43382.0,-9912.0,-43722.0,-11001.0,32381.0,陽線,的中
