rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,73,20260524,20260523,76.5,低〜中,弱トレンド,陽線3連続後,8,-211948,images/73.png,第1サポート:11840下(-223788) / 第2サポート:16338下(-228286) / 第3サポート:23902下(-235850) / 第4サポート:28405下(-240353),True,-211948.0,-206297.0,-217432.0,-208165.0,3783.0,陽線,的中
2,110,20260524,20260523,56.93,高,順張り寄り,陽線1連続後,35,317808,images/110.png,第1サポート:25559下(292249) / 第2サポート:31300下(286508) / 第3サポート:50148下(267660) / 第4サポート:53235下(264573) / 最重要サポート:56832下(260976),True,317808.0,341074.0,315360.0,335496.0,17688.0,陽線,的中
3,76,20260524,20260523,55.5,高,中立,陽線2連続後,28,-230449,images/76.png,第1サポート:3951下(-234400) / 第2サポート:8050下(-238499) / 第3サポート:15091下(-245540) / 第4サポート:22275下(-252724) / 最重要サポート:26029下(-256478),True,-230449.0,-211583.0,-230732.0,-223025.0,7424.0,陽線,的中
4,134,20260524,20260523,55.5,高,順張り寄り,陽線2連続後,10,-212361,images/134.png,第1サポート:24275下(-236636) / 第2サポート:28123下(-240484) / 第3サポート:31889下(-244250) / 第4サポート:39419下(-251780) / 最重要サポート:46687下(-259048),True,-212361.0,-212313.0,-214063.0,-213968.0,-1607.0,陰線,外れ
5,68,20260524,20260523,54.44,低〜中,弱トレンド,陽線3連続後,17,-82521,images/68.png,第1サポート:2969下(-85490) / 第2サポート:16506下(-99027),True,-82521.0,-80771.0,-85925.0,-85830.0,-3309.0,陰線,外れ
6,70,20260524,20260523,53.83,高,中立,陰線1連続後,86,61761,images/70.png,第1サポート:4633下(57128) / 第2サポート:13944下(47817) / 第3サポート:19708下(42053) / 第4サポート:22788下(38973) / 最重要サポート:30656下(31105),True,61761.0,63393.0,54244.0,61608.0,-153.0,陰線,外れ
7,39,20260524,20260523,53.33,高,中立,陽線1連続後,69,-65998,images/39.png,第1サポート:12153下(-78151) / 第2サポート:26230下(-92228) / 第3サポート:29388下(-95386) / 第4サポート:35244下(-101242) / 最重要サポート:39287下(-105285),True,-65998.0,-47312.0,-70129.0,-49472.0,16526.0,陽線,的中
8,69,20260524,20260523,52.93,高,中立,陽線2連続後,35,297954,images/69.png,第1サポート:1856下(296098) / 第2サポート:5293下(292661) / 第3サポート:8366下(289588) / 第4サポート:12114下(285840) / 最重要サポート:14939下(283015),True,297954.0,311006.0,297673.0,306030.0,8076.0,陽線,的中
9,148,20260524,20260523,51.64,低,反発狙い・要注意,陰線5連続後,7,-494845,images/148.png,第1サポート:10893下(-505738) / 第2サポート:25926下(-520771),True,-494845.0,-494750.0,-512717.0,-512528.0,-17683.0,陰線,外れ
10,116,20260524,20260523,49.17,中,中立,陽線1連続後,30,-200459,images/116.png,第1サポート:9715下(-210174) / 第2サポート:15036下(-215495) / 第3サポート:27339下(-227798) / 第4サポート:42884下(-243343) / 最重要サポート:45927下(-246386),True,-200459.0,-200663.0,-228894.0,-208486.0,-8027.0,陰線,外れ
