rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,149,20260520,20260519,74.5,低,反発狙い・要注意,陰線6連続後,5,-90536,images/149.png,第1サポート:188下(-90724),True,-90536.0,-83562.0,-97557.0,-84058.0,6478.0,陽線,的中
2,158,20260520,20260519,69.14,高,中立,陽線後,11,54174,images/158.png,第1サポート:3251下(50923) / 第2サポート:18164下(36010) / 第3サポート:23760下(30414) / 第4サポート:28338下(25836) / 最重要サポート:32725下(21449),True,54174.0,54222.0,49281.0,52922.0,-1252.0,陰線,外れ
3,113,20260520,20260519,61.17,低,弱トレンド,陰線2連続後,18,151730,images/113.png,第1サポート:2482下(149248) / 第2サポート:9531下(142199) / 第3サポート:18301下(133429),True,151730.0,157310.0,146388.0,153811.0,2081.0,陽線,的中
4,70,20260520,20260519,60.05,高,順張り寄り,陽線3連続後,11,68054,images/70.png,第1サポート:3735下(64319) / 第2サポート:13515下(54539) / 第3サポート:20484下(47570) / 第4サポート:26001下(42053) / 最重要サポート:37287下(30767),True,68054.0,68102.0,61293.0,61411.0,-6643.0,陰線,外れ
5,156,20260520,20260519,58.64,低,弱トレンド,陰線1連続後,7,-99250,images/156.png,第1サポート:6396下(-105646) / 第2サポート:18791下(-118041) / 第3サポート:31292下(-130542),True,-99250.0,-82818.0,-102536.0,-84273.0,14977.0,陽線,的中
6,116,20260520,20260519,57.96,高,中立,陽線後,61,-199055,images/116.png,第1サポート:4873下(-203928) / 第2サポート:15704下(-214759) / 第3サポート:20399下(-219454) / 第4サポート:30048下(-229103) / 最重要サポート:44354下(-243409),True,-199055.0,-197021.0,-208534.0,-197754.0,1301.0,陽線,的中
7,121,20260520,20260519,57.88,高,順張り寄り,陰線1連続後,42,20159,images/121.png,第1サポート:17576下(2583) / 第2サポート:22152下(-1993) / 第3サポート:29207下(-9048) / 第4サポート:38525下(-18366) / 最重要サポート:41166下(-21007),True,20159.0,20207.0,20018.0,20112.0,-47.0,陰線,外れ
8,39,20260520,20260519,56.93,高,順張り寄り,陽線後,140,-68537,images/39.png,第1サポート:5903下(-74440) / 第2サポート:14428下(-82965) / 第3サポート:21621下(-90158) / 第4サポート:27187下(-95724) / 最重要サポート:36249下(-104786),True,-68537.0,-68489.0,-76125.0,-76031.0,-7494.0,陰線,外れ
9,66,20260520,20260519,56.66,中,中立,陰線2連続後,37,-181024,images/66.png,第1サポート:2752下(-183776) / 第2サポート:8140下(-189164) / 第3サポート:12785下(-193809) / 第4サポート:22776下(-203800) / 最重要サポート:25997下(-207021),True,-181024.0,-177170.0,-186626.0,-186532.0,-5508.0,陰線,外れ
10,47,20260520,20260519,54.78,高,中立,陽線1連続後,69,-188860,images/47.png,第1サポート:8641下(-197501) / 第2サポート:17968下(-206828) / 第3サポート:21148下(-210008) / 第4サポート:25885下(-214745) / 最重要サポート:31464下(-220324),True,-188860.0,-188387.0,-193966.0,-193871.0,-5011.0,陰線,外れ
11,77,20260520,20260519,54.5,低,反発狙い・要注意,陰線5連続後,10,-373516,images/77.png,第1サポート:10298下(-383814),True,-373516.0,-356661.0,-373797.0,-356849.0,16667.0,陽線,的中
12,118,20260520,20260519,54.5,低,反発狙い・要注意,陰線5連続後,5,-87250,images/118.png,第1サポート:14864下(-102114),True,-87250.0,-64188.0,-87794.0,-66501.0,20749.0,陽線,的中
13,49,20260520,20260519,54.44,高,中立,陰線2連続後,47,-106935,images/49.png,第1サポート:3121下(-110056) / 第2サポート:13336下(-120271) / 第3サポート:16612下(-123547) / 第4サポート:20261下(-127196) / 最重要サポート:32940下(-139875),True,-106935.0,-104594.0,-108589.0,-106131.0,804.0,陽線,的中
14,75,20260520,20260519,52.82,低〜中,弱トレンド,陰線1連続後,81,-9946,images/75.png,第1サポート:2949下(-12895) / 第2サポート:10189下(-20135) / 第3サポート:12928下(-22874) / 第4サポート:19809下(-29755) / 最重要サポート:26748下(-36694),True,-9946.0,-9852.0,-24030.0,-19053.0,-9107.0,陰線,外れ
15,65,20260520,20260519,51.55,高,中立,陰線1連続後,76,-246401,images/65.png,第1サポート:17481下(-263882) / 第2サポート:26111下(-272512) / 第3サポート:30554下(-276955) / 第4サポート:36181下(-282582) / 最重要サポート:41317下(-287718),True,-246401.0,-230109.0,-248513.0,-231424.0,14977.0,陽線,的中
16,56,20260520,20260519,47.17,中,中立,陽線2連続後,36,-38386,images/56.png,第1サポート:5500下(-43886) / 第2サポート:11422下(-49808) / 第3サポート:18243下(-56629) / 第4サポート:27335下(-65721) / 最重要サポート:45337下(-83723),True,-38386.0,-37274.0,-42003.0,-41908.0,-3522.0,陰線,外れ
17,35,20260520,20260519,46.6,高,中立,陽線1連続後,73,-72331,images/35.png,第1サポート:5155下(-77486) / 第2サポート:8735下(-81066) / 第3サポート:15777下(-88108) / 第4サポート:21314下(-93645) / 最重要サポート:24709下(-97040),True,-72331.0,-70392.0,-74884.0,-70959.0,1372.0,陽線,的中
18,52,20260520,20260519,46.08,高,中立,陰線1連続後,69,-301089,images/52.png,第1サポート:3517下(-304606) / 第2サポート:9600下(-310689) / 第3サポート:19763下(-320852) / 第4サポート:28893下(-329982) / 最重要サポート:34102下(-335191),True,-301089.0,-297944.0,-301230.0,-301136.0,-47.0,陰線,外れ
19,40,20260520,20260519,46.04,中,中立,陰線1連続後,74,121268,images/40.png,第1サポート:5140下(116128) / 第2サポート:8709下(112559) / 第3サポート:15140下(106128) / 第4サポート:27468下(93800) / 最重要サポート:31777下(89491),True,121268.0,123342.0,115473.0,115568.0,-5700.0,陰線,外れ
20,110,20260520,20260519,45.56,中,中立,陰線1連続後,34,264785,images/110.png,第1サポート:7889下(256896) / 第2サポート:11360下(253425) / 第3サポート:16758下(248027) / 第4サポート:25797下(238988) / 最重要サポート:40702下(224083),True,264785.0,295194.0,260976.0,294649.0,29864.0,陽線,的中
21,122,20260520,20260519,45.31,中,中立,陰線1連続後,47,-127709,images/122.png,第1サポート:11102下(-138811) / 第2サポート:21291下(-149000) / 第3サポート:24494下(-152203) / 第4サポート:27106下(-154815) / 最重要サポート:40040下(-167749),True,-127709.0,-127504.0,-148253.0,-147981.0,-20272.0,陰線,外れ
22,135,20260520,20260519,45.17,低〜中,反発狙い,陰線3連続後,15,-55791,images/135.png,第1サポート:2581下(-58372) / 第2サポート:8084下(-63875) / 第3サポート:14832下(-70623) / 第4サポート:19478下(-75269) / 最重要サポート:28208下(-83999),True,-55791.0,-55743.0,-58486.0,-58391.0,-2600.0,陰線,外れ
23,64,20260520,20260519,45.12,低〜中,弱トレンド,陰線2連続後,42,-218992,images/64.png,第1サポート:2907下(-221899) / 第2サポート:11104下(-230096) / 第3サポート:14774下(-233766),True,-218992.0,-213200.0,-223743.0,-217762.0,1230.0,陽線,的中
