rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,158,20260504,20260503,88.83,高,順張り寄り,全体陽線率,6,43061,images/158.png,第1サポート:15889下(27172) / 第2サポート:26684下(16377) / 第3サポート:33715下(9346) / 第4サポート:42515下(546) / 最重要サポート:54651下(-11590),True,43061.0,86360.0,36738.0,75295.0,32234.0,陽線,的中
2,72,20260504,20260503,72.17,高,中立,陽線3連続後,12,227598,images/72.png,第1サポート:4929下(222669) / 第2サポート:16238下(211360) / 第3サポート:20870下(206728) / 第4サポート:34602下(192996) / 最重要サポート:38705下(188893),True,227598.0,229301.0,225093.0,228757.0,1159.0,陽線,的中
3,66,20260504,20260503,65.5,高,中立,陰線2連続後,35,-188727,images/66.png,第1サポート:2529下(-191256) / 第2サポート:11183下(-199910) / 第3サポート:15078下(-203805) / 第4サポート:18464下(-207191) / 最重要サポート:20985下(-209712),True,-188727.0,-183478.0,-194117.0,-183738.0,4989.0,陽線,的中
4,110,20260504,20260503,55.5,高,順張り寄り,陽線1連続後,30,216211,images/110.png,第1サポート:14231下(201980) / 第2サポート:26858下(189353) / 第3サポート:41022下(175189) / 第4サポート:45921下(170290) / 最重要サポート:53697下(162514),True,216211.0,243286.0,215871.0,234919.0,18708.0,陽線,的中
5,135,20260504,20260503,53.02,高,中立,陽線1連続後,33,-61236,images/135.png,第1サポート:3174下(-64410) / 第2サポート:9333下(-70569) / 第3サポート:14319下(-75555),True,-61236.0,-61142.0,-74005.0,-69921.0,-8685.0,陰線,外れ
6,34,20260504,20260503,52.85,低〜中,弱トレンド,陰線1連続後,74,-46231,images/34.png,第1サポート:2271下(-48502) / 第2サポート:11122下(-57353),True,-46231.0,-39020.0,-51904.0,-41739.0,4492.0,陽線,的中
7,134,20260504,20260503,52.5,低〜中,反発狙い,陰線3連続後,16,-239047,images/134.png,第1サポート:1555下(-240602) / 第2サポート:5622下(-244669) / 第3サポート:14116下(-253163) / 第4サポート:28785下(-267832) / 最重要サポート:34781下(-273828),True,-239047.0,-238953.0,-253741.0,-252380.0,-13333.0,陰線,外れ
8,153,20260504,20260503,52.17,高,中立,陽線2連続後,15,284949,images/153.png,第1サポート:12100下(272849) / 第2サポート:35192下(249757) / 第3サポート:40079下(244870) / 第4サポート:50639下(234310) / 最重要サポート:55045下(229904),True,284949.0,320652.0,269192.0,319550.0,34601.0,陽線,的中
9,55,20260504,20260503,50.91,低〜中,弱トレンド,陰線2連続後,39,-50992,images/55.png,第1サポート:3928下(-54920) / 第2サポート:16772下(-67764),True,-50992.0,-34982.0,-51555.0,-41226.0,9766.0,陽線,的中
10,51,20260504,20260503,50.89,高,中立,陽線2連続後,31,53634,images/51.png,第1サポート:4550下(49084) / 第2サポート:9808下(43826) / 第3サポート:12926下(40708) / 第4サポート:18306下(35328) / 最重要サポート:21294下(32340),True,53634.0,53682.0,44084.0,45928.0,-7706.0,陰線,外れ
11,39,20260504,20260503,50.73,低〜中,弱トレンド,陽線1連続後,65,-89323,images/39.png,第1サポート:6825下(-96148) / 第2サポート:13638下(-102961) / 第3サポート:16812下(-106135) / 第4サポート:21749下(-111072) / 最重要サポート:27589下(-116912),True,-89323.0,-89229.0,-101999.0,-101811.0,-12488.0,陰線,外れ
12,77,20260504,20260503,50.06,低,反発狙い・要注意,陰線5連続後,9,-357935,images/77.png,第1サポート:2294下(-360229),True,-357935.0,-351244.0,-359518.0,-357273.0,662.0,陽線,的中
13,38,20260504,20260503,49.94,高,中立,陽線2連続後,27,-193757,images/38.png,第1サポート:3789下(-197546) / 第2サポート:8951下(-202708) / 第3サポート:11756下(-205513) / 第4サポート:21353下(-215110) / 最重要サポート:27525下(-221282),True,-193757.0,-189454.0,-198296.0,-192728.0,1029.0,陽線,的中
14,74,20260504,20260503,49.94,高,中立,陽線1連続後,72,5491,images/74.png,第1サポート:24636下(-19145) / 第2サポート:28596下(-23105) / 第3サポート:42169下(-36678) / 第4サポート:48131下(-42640) / 最重要サポート:54629下(-49138),True,5491.0,12796.0,385.0,480.0,-5011.0,陰線,外れ
15,52,20260504,20260503,49.25,中,中立,陽線1連続後,64,-321209,images/52.png,第1サポート:4335下(-325544) / 第2サポート:9160下(-330369) / 第3サポート:14360下(-335569) / 第4サポート:17940下(-339149) / 最重要サポート:28650下(-349859),True,-321209.0,-316669.0,-327213.0,-316930.0,4279.0,陽線,的中
16,36,20260504,20260503,48.98,中,中立,陽線2連続後,23,-94707,images/36.png,第1サポート:5944下(-100651) / 第2サポート:10800下(-105507) / 第3サポート:19061下(-113768) / 第4サポート:27830下(-122537),True,-94707.0,-87472.0,-101515.0,-101420.0,-6713.0,陰線,外れ
17,75,20260504,20260503,48.54,中,中立,陽線1連続後,79,-21717,images/75.png,第1サポート:8702下(-30419) / 第2サポート:14615下(-36332) / 第3サポート:23375下(-45092) / 第4サポート:26495下(-48212) / 最重要サポート:44848下(-66565),True,-21717.0,-4486.0,-30684.0,-13078.0,8639.0,陽線,的中
18,156,20260504,20260503,48.5,低〜中,中立,全体陽線率,6,8570,images/156.png,第1サポート:3685下(4885) / 第2サポート:13404下(-4834) / 第3サポート:25728下(-17158) / 第4サポート:41426下(-32856),True,8570.0,28570.0,-4853.0,26904.0,18334.0,陽線,的中
19,63,20260504,20260503,48.17,中,中立,陽線1連続後,75,-134733,images/63.png,第1サポート:5024下(-139757) / 第2サポート:7932下(-142665) / 第3サポート:14914下(-149647) / 第4サポート:22881下(-157614) / 最重要サポート:26397下(-161130),True,-134733.0,-129602.0,-138184.0,-136411.0,-1678.0,陰線,外れ
20,41,20260504,20260503,47.9,高,中立,陽線後,125,-357811,images/41.png,第1サポート:2813下(-360624) / 第2サポート:13740下(-371551) / 第3サポート:16482下(-374293) / 第4サポート:19232下(-377043) / 最重要サポート:22816下(-380627),True,-357811.0,-354217.0,-364572.0,-360907.0,-3096.0,陰線,外れ
21,48,20260504,20260503,47.8,低,弱トレンド,陽線1連続後,71,-300154,images/48.png,第1サポート:3414下(-303568) / 第2サポート:10717下(-310871) / 第3サポート:16794下(-316948) / 第4サポート:20303下(-320457) / 最重要サポート:24939下(-325093),True,-300154.0,-296418.0,-309846.0,-303250.0,-3096.0,陰線,外れ
