rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,51,20260521,20260520,58.79,低,反発狙い・要注意,陰線4連続後,14,16062,images/51.png,第1サポート:3004下(13058) / 第2サポート:9196下(6866),True,16062.0,16110.0,12658.0,12753.0,-3309.0,陰線,外れ
2,116,20260521,20260520,58.73,高,中立,陽線後,62,-197754,images/116.png,第1サポート:6174下(-203928) / 第2サポート:10780下(-208534) / 第3サポート:14673下(-212427) / 第4サポート:17748下(-215502) / 最重要サポート:21697下(-219451),True,-197754.0,-185224.0,-203285.0,-203096.0,-5342.0,陰線,外れ
3,70,20260521,20260520,58.44,高,順張り寄り,陰線1連続後,85,61411,images/70.png,第1サポート:5299下(56112) / 第2サポート:13815下(47596) / 第3サポート:19358下(42053) / 第4サポート:31010下(30401) / 最重要サポート:41359下(20052),True,61411.0,65761.0,53752.0,58740.0,-2671.0,陰線,外れ
4,137,20260521,20260520,57.0,低,弱トレンド,陰線2連続後,24,-375577,images/137.png,第1サポート:2137下(-377714),True,-375577.0,-370352.0,-376782.0,-376688.0,-1111.0,陰線,外れ
5,71,20260521,20260520,56.57,低〜中,反発狙い,陰線3連続後,29,-201746,images/71.png,第1サポート:10257下(-212003) / 第2サポート:18631下(-220377) / 第3サポート:37504下(-239250) / 第4サポート:41871下(-243617),True,-201746.0,-201391.0,-203731.0,-203637.0,-1891.0,陰線,外れ
6,108,20260521,20260520,56.05,低〜中,弱トレンド,陽線2連続後,11,-247726,images/108.png,第1サポート:8271下(-255997) / 第2サポート:12567下(-260293) / 第3サポート:21141下(-268867),True,-247726.0,-221399.0,-250515.0,-223100.0,24626.0,陽線,的中
7,110,20260521,20260520,55.5,高,順張り寄り,陽線1連続後,34,294649,images/110.png,第1サポート:22380下(272269) / 第2サポート:30222下(264427) / 第3サポート:33673下(260976) / 第4サポート:37524下(257125) / 最重要サポート:41483下(253166),True,294649.0,309165.0,292947.0,297250.0,2601.0,陽線,的中
8,38,20260521,20260520,53.59,低,反発狙い・要注意,陰線3連続後,22,-229146,images/38.png,第1サポート:8896下(-238042) / 第2サポート:11797下(-240943) / 第3サポート:25815下(-254961),True,-229146.0,-229098.0,-234536.0,-234441.0,-5295.0,陰線,外れ
9,41,20260521,20260520,52.35,高,中立,陰線2連続後,52,-339143,images/41.png,第1サポート:2129下(-341272) / 第2サポート:11093下(-350236) / 第3サポート:14026下(-353169) / 第4サポート:18697下(-357840) / 最重要サポート:27012下(-366155),True,-339143.0,-339095.0,-347157.0,-347062.0,-7919.0,陰線,外れ
10,57,20260521,20260520,50.95,高,中立,陽線1連続後,77,-4937,images/57.png,第1サポート:4607下(-9544) / 第2サポート:13186下(-18123) / 第3サポート:21033下(-25970) / 第4サポート:28189下(-33126) / 最重要サポート:32190下(-37127),True,-4937.0,-185.0,-6355.0,-3423.0,1514.0,陽線,的中
11,46,20260521,20260520,50.83,高,中立,陽線1連続後,75,-311111,images/46.png,第1サポート:1915下(-313026) / 第2サポート:9111下(-320222) / 第3サポート:11772下(-322883) / 第4サポート:20914下(-332025) / 最重要サポート:27094下(-338205),True,-311111.0,-311063.0,-311465.0,-311371.0,-260.0,陰線,外れ
12,56,20260521,20260520,50.57,高,中立,陰線1連続後,71,-41908,images/56.png,第1サポート:4908下(-46816) / 第2サポート:9731下(-51639) / 第3サポート:14366下(-56274) / 第4サポート:23474下(-65382) / 最重要サポート:37155下(-79063),True,-41908.0,-41860.0,-42120.0,-42061.0,-153.0,陰線,外れ
13,42,20260521,20260520,49.05,低,弱トレンド,陰線2連続後,44,88410,images/42.png,第1サポート:1456下(86954),True,88410.0,93777.0,78647.0,93541.0,5131.0,陽線,的中
14,67,20260521,20260520,48.05,高,中立,陰線2連続後,47,-472646,images/67.png,第1サポート:2897下(-475543) / 第2サポート:6668下(-479314) / 第3サポート:10123下(-482769) / 第4サポート:13054下(-485700) / 最重要サポート:17506下(-490152),True,-472646.0,-461960.0,-474442.0,-464797.0,7849.0,陽線,的中
