rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,157,20260516,20260515,85.5,中,中立,陽線後,5,-78711,images/157.png,第1サポート:1707下(-80418) / 第2サポート:7166下(-85877) / 第3サポート:15038下(-93749) / 第4サポート:19099下(-97810) / 最重要サポート:22818下(-101529),True,-78711.0,-73264.0,-93546.0,-74720.0,3991.0,陽線,的中
2,36,20260516,20260515,75.5,高,順張り寄り,陽線3連続後,10,-75419,images/36.png,第1サポート:3237下(-78656) / 第2サポート:10789下(-86208) / 第3サポート:16211下(-91630) / 第4サポート:21663下(-97082) / 最重要サポート:28070下(-103489),True,-75419.0,-75371.0,-83858.0,-83764.0,-8345.0,陰線,外れ
3,108,20260516,20260515,61.5,低〜中,弱トレンド,陽線2連続後,10,-216495,images/108.png,第1サポート:1947下(-218442) / 第2サポート:6441下(-222936) / 第3サポート:15177下(-231672) / 第4サポート:19103下(-235598) / 最重要サポート:21759下(-238254),True,-216495.0,-216290.0,-243433.0,-242073.0,-25578.0,陰線,外れ
4,50,20260516,20260515,59.21,低,反発狙い・弱トレンド,陰線3連続後,28,-218155,images/50.png,第1サポート:3050下(-221205) / 第2サポート:6201下(-224356) / 第3サポート:12159下(-230314) / 第4サポート:24487下(-242642) / 最重要サポート:36253下(-254408),True,-218155.0,-213521.0,-228651.0,-228462.0,-10307.0,陰線,外れ
5,110,20260516,20260515,58.62,高,順張り寄り,陽線1連続後,32,277518,images/110.png,第1サポート:12945下(264573) / 第2サポート:15463下(262055) / 第3サポート:30594下(246924) / 第4サポート:38038下(239480) / 最重要サポート:43328下(234190),True,277518.0,281396.0,268299.0,272861.0,-4657.0,陰線,外れ
6,40,20260516,20260515,57.67,高,中立,陽線1連続後,69,117063,images/40.png,第1サポート:4150下(112913) / 第2サポート:11388下(105675) / 第3サポート:23154下(93909) / 第4サポート:32106下(84957) / 最重要サポート:36120下(80943),True,117063.0,118613.0,99880.0,104716.0,-12347.0,陰線,外れ
7,41,20260516,20260515,57.5,高,順張り寄り,陽線1連続後,75,-331307,images/41.png,第1サポート:4914下(-336221) / 第2サポート:9997下(-341304) / 第3サポート:14648下(-345955) / 第4サポート:21691下(-352998) / 最重要サポート:28449下(-359756),True,-331307.0,-331213.0,-348490.0,-348302.0,-16995.0,陰線,外れ
8,121,20260516,20260515,56.04,低,反発狙い,陰線3連続後,13,-10661,images/121.png,第1サポート:2757下(-13418) / 第2サポート:10819下(-21480) / 第3サポート:20542下(-31203) / 第4サポート:28593下(-39254) / 最重要サポート:31853下(-42514),True,-10661.0,-10567.0,-29064.0,-17797.0,-7136.0,陰線,外れ
9,39,20260516,20260515,54.62,低〜中,弱トレンド,陽線2連続後,32,-109197,images/39.png,第1サポート:7108下(-116305) / 第2サポート:15756下(-124953) / 第3サポート:20711下(-129908) / 第4サポート:25572下(-134769) / 最重要サポート:37551下(-146748),True,-109197.0,-86543.0,-111101.0,-89877.0,19320.0,陽線,的中
10,71,20260516,20260515,53.06,高,中立,陰線1連続後,82,-145491,images/71.png,第1サポート:3204下(-148695) / 第2サポート:10115下(-155606) / 第3サポート:18601下(-164092) / 第4サポート:22540下(-168031) / 最重要サポート:26205下(-171696),True,-145491.0,-135021.0,-152674.0,-144458.0,1033.0,陽線,的中
11,135,20260516,20260515,52.72,高,中立,陽線1連続後,36,-56982,images/135.png,第1サポート:6981下(-63963) / 第2サポート:13192下(-70174) / 第3サポート:18287下(-75269) / 第4サポート:24698下(-81680) / 最重要サポート:27415下(-84397),True,-56982.0,-34571.0,-75392.0,-34802.0,22180.0,陽線,的中
