rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,36,20260427,20260426,72.17,中,中立,陽線3連続後,9,-102431,images/36.png,第1サポート:3124下(-105555) / 第2サポート:9274下(-111705) / 第3サポート:11962下(-114393) / 第4サポート:16070下(-118501) / 最重要サポート:20584下(-123015),True,-102431.0,-98530.0,-108979.0,-98719.0,3712.0,陽線,的中
2,113,20260427,20260426,65.17,高,順張り寄り,陰線2連続後,15,194791,images/113.png,第1サポート:2207下(192584) / 第2サポート:5851下(188940) / 第3サポート:11656下(183135) / 第4サポート:32212下(162579) / 最重要サポート:37251下(157540),True,194791.0,194886.0,175501.0,175690.0,-19101.0,陰線,外れ
3,73,20260427,20260426,61.17,低,反発狙い・要注意,陰線5連続後,6,-125401,images/73.png,第1サポート:187下(-125588),True,-125401.0,-125307.0,-144133.0,-137607.0,-12206.0,陰線,外れ
4,76,20260427,20260426,57.5,高,順張り寄り,陽線2連続後,25,-217301,images/76.png,第1サポート:4451下(-221752) / 第2サポート:8534下(-225835) / 第3サポート:13522下(-230823) / 第4サポート:16765下(-234066) / 最重要サポート:19662下(-236963),True,-217301.0,-210399.0,-231667.0,-210916.0,6385.0,陽線,的中
5,150,20260427,20260426,57.0,低,反発狙い・要注意,陰線5連続後,8,-424979,images/150.png,第1サポート:5345下(-430324) / 第2サポート:11025下(-436004),True,-424979.0,-424885.0,-439063.0,-438875.0,-13896.0,陰線,外れ
6,51,20260427,20260426,55.5,中,中立,陽線3連続後,14,46095,images/51.png,第1サポート:5627下(40468) / 第2サポート:10145下(35950) / 第3サポート:13767下(32328) / 第4サポート:17982下(28113) / 最重要サポート:25861下(20234),True,46095.0,46143.0,41226.0,42573.0,-3522.0,陰線,外れ
7,137,20260427,20260426,51.64,低,反発狙い・要注意,陰線3連続後,7,-306650,images/137.png,第1サポート:2972下(-309622) / 第2サポート:42639下(-349289),True,-306650.0,-292471.0,-311016.0,-295757.0,10893.0,陽線,的中
8,46,20260427,20260426,51.5,低〜中,中立,陽線3連続後,8,-301372,images/46.png,第1サポート:3876下(-305248) / 第2サポート:11205下(-312577) / 第3サポート:20240下(-321612) / 第4サポート:23714下(-325086) / 最重要サポート:37422下(-338794),True,-301372.0,-289400.0,-307146.0,-291325.0,10047.0,陽線,的中
9,50,20260427,20260426,50.5,低,反発狙い・要注意,陰線3連続後,25,-209236,images/50.png,第1サポート:187下(-209423),True,-209236.0,-187127.0,-212093.0,-190528.0,18708.0,陽線,的中
10,74,20260427,20260426,50.43,高,中立,陽線1連続後,69,-31125,images/74.png,第1サポート:11534下(-42659) / 第2サポート:16402下(-47527) / 第3サポート:19842下(-50967) / 第4サポート:23474下(-54599) / 最重要サポート:27071下(-58196),True,-31125.0,-31077.0,-41125.0,-41030.0,-9905.0,陰線,外れ
11,68,20260427,20260426,50.06,低,反発狙い・要注意,陰線5連続後,9,21887,images/68.png,第1サポート:2817下(19070),True,21887.0,22092.0,-4371.0,-2874.0,-24761.0,陰線,外れ
12,41,20260427,20260426,49.2,低〜中,中立,陽線1連続後,71,-371156,images/41.png,第1サポート:4900下(-376056) / 第2サポート:8805下(-379961) / 第3サポート:12005下(-383161) / 第4サポート:21114下(-392270) / 最重要サポート:30027下(-401183),True,-371156.0,-364276.0,-378744.0,-365245.0,5911.0,陽線,的中
13,75,20260427,20260426,48.55,低,弱トレンド,陰線1連続後,74,-56755,images/75.png,第1サポート:4030下(-60785) / 第2サポート:13688下(-70443),True,-56755.0,-51483.0,-66565.0,-52688.0,4067.0,陽線,的中
14,112,20260427,20260426,48.17,低〜中,弱トレンド,陰線1連続後,30,-244879,images/112.png,第1サポート:5815下(-250694) / 第2サポート:39748下(-284627),True,-244879.0,-235753.0,-251545.0,-241451.0,3428.0,陽線,的中
15,52,20260427,20260426,47.81,中,中立,陽線2連続後,26,-315206,images/52.png,第1サポート:1587下(-316793) / 第2サポート:13004下(-328210) / 第3サポート:15763下(-330969) / 第4サポート:23350下(-338556) / 最重要サポート:34653下(-349859),True,-315206.0,-308397.0,-328113.0,-327924.0,-12718.0,陰線,外れ
16,69,20260427,20260426,47.75,高,中立,陰線1連続後,71,318559,images/69.png,第1サポート:2301下(316258) / 第2サポート:17602下(300957) / 第3サポート:30126下(288433) / 第4サポート:38570下(279989) / 最重要サポート:48682下(269877),True,318559.0,321798.0,310049.0,313831.0,-4728.0,陰線,外れ
17,77,20260427,20260426,47.5,低〜中,弱トレンド,陽線1連続後,66,-329353,images/77.png,第1サポート:3523下(-332876) / 第2サポート:9061下(-338414) / 第3サポート:12058下(-341411),True,-329353.0,-327981.0,-339211.0,-336137.0,-6784.0,陰線,外れ
