rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,110,20260430,20260429,57.22,高,順張り寄り,陰線1連続後,29,213165,images/110.png,第1サポート:17148下(196017) / 第2サポート:22565下(190600) / 第3サポート:34543下(178622) / 第4サポート:38274下(174891) / 最重要サポート:42875下(170290),True,213165.0,213259.0,199175.0,202649.0,-10516.0,陰線,外れ
2,75,20260430,20260429,56.17,低〜中,弱トレンド,陰線1連続後,75,-35572,images/75.png,第1サポート:2033下(-37605) / 第2サポート:7900下(-43472) / 第3サポート:12640下(-48212) / 第4サポート:17456下(-53028) / 最重要サポート:30993下(-66565),True,-35572.0,-35524.0,-43089.0,-37746.0,-2174.0,陰線,外れ
3,153,20260430,20260429,55.5,高,順張り寄り,陽線2連続後,14,279916,images/153.png,第1サポート:25687下(254229) / 第2サポート:31371下(248545) / 第3サポート:45948下(233968) / 第4サポート:53400下(226516) / 最重要サポート:66587下(213329),True,279916.0,280010.0,265269.0,265456.0,-14460.0,陰線,外れ
4,154,20260430,20260429,54.0,低,中立,全体陽線率,2,-6257,images/154.png,第1サポート:4879下(-11136) / 第2サポート:10255下(-16512) / 第3サポート:14238下(-20495) / 第4サポート:21086下(-27343) / 最重要サポート:29388下(-35645),True,-6257.0,-6461.0,-42515.0,-42243.0,-35986.0,陰線,外れ
5,155,20260430,20260429,54.0,低,中立,全体陽線率,2,-5653,images/155.png,第1サポート:3682下(-9335) / 第2サポート:8657下(-14310),True,-5653.0,-5653.0,-35789.0,-35618.0,-29965.0,陰線,外れ
6,156,20260430,20260429,54.0,低,中立,全体陽線率,2,-9115,images/156.png,第1サポート:3503下(-12618) / 第2サポート:9142下(-18257) / 第3サポート:15079下(-24194) / 第4サポート:19184下(-28299) / 最重要サポート:23741下(-32856),True,-9115.0,15289.0,-31008.0,15124.0,24239.0,陽線,的中
7,158,20260430,20260429,54.0,低,中立,全体陽線率,2,-18298,images/158.png,第1サポート:3589下(-21887) / 第2サポート:7959下(-26257),True,-18298.0,2111.0,-24352.0,1839.0,20137.0,陽線,的中
8,137,20260430,20260429,52.39,低,弱トレンド,陰線2連続後,19,-325823,images/137.png,第1サポート:2441下(-328264) / 第2サポート:20125下(-345948) / 第3サポート:23466下(-349289),True,-325823.0,-325618.0,-346571.0,-346299.0,-20476.0,陰線,外れ
9,113,20260430,20260429,51.83,高,中立,陽線1連続後,30,172075,images/113.png,第1サポート:4520下(167555) / 第2サポート:10187下(161888) / 第3サポート:16185下(155890) / 第4サポート:35222下(136853) / 最重要サポート:39381下(132694),True,172075.0,179924.0,164061.0,179191.0,7116.0,陽線,的中
10,42,20260430,20260429,51.65,高,中立,陰線1連続後,78,167345,images/42.png,第1サポート:5052下(162293) / 第2サポート:9014下(158331) / 第3サポート:11634下(155711) / 第4サポート:16567下(150778) / 最重要サポート:30589下(136756),True,167345.0,175052.0,165974.0,171270.0,3925.0,陽線,的中
11,135,20260430,20260429,49.34,低,弱トレンド,陽線1連続後,31,-55574,images/135.png,第1サポート:7194下(-62768) / 第2サポート:9869下(-65443) / 第3サポート:15339下(-70913) / 第4サポート:34389下(-89963),True,-55574.0,-53972.0,-65538.0,-65479.0,-9905.0,陰線,外れ
12,46,20260430,20260429,49.16,中,中立,陽線1連続後,71,-297073,images/46.png,第1サポート:4548下(-301621) / 第2サポート:8327下(-305400) / 第3サポート:11371下(-308444) / 第4サポート:16241下(-313314) / 最重要サポート:24159下(-321232),True,-297073.0,-292061.0,-299602.0,-299318.0,-2245.0,陰線,外れ
13,49,20260430,20260429,48.92,中,中立,陽線1連続後,76,-61121,images/49.png,第1サポート:3242下(-64363) / 第2サポート:12025下(-73146) / 第3サポート:16872下(-77993) / 第4サポート:21505下(-82626) / 最重要サポート:25082下(-86203),True,-61121.0,-58071.0,-65920.0,-58402.0,2719.0,陽線,的中
14,64,20260430,20260429,48.87,中,中立,陰線1連続後,76,-177616,images/64.png,第1サポート:7747下(-185363) / 第2サポート:22435下(-200051) / 第3サポート:25254下(-202870),True,-177616.0,-174448.0,-181445.0,-178301.0,-685.0,陰線,外れ
15,41,20260430,20260429,48.5,低,弱トレンド,陰線2連続後,50,-389669,images/41.png,第1サポート:2601下(-392270) / 第2サポート:8489下(-398158) / 第3サポート:12484下(-402153) / 第4サポート:21605下(-411274) / 最重要サポート:35609下(-425278),True,-389669.0,-383049.0,-394704.0,-384609.0,5060.0,陽線,的中
16,76,20260430,20260429,48.47,高,中立,陽線後,128,-205336,images/76.png,第1サポート:7479下(-212815) / 第2サポート:11253下(-216589) / 第3サポート:17234下(-222570) / 第4サポート:25372下(-230708) / 最重要サポート:30305下(-235641),True,-205336.0,-201742.0,-210300.0,-204744.0,592.0,陽線,的中
17,54,20260430,20260429,48.24,高,中立,陽線後,117,-205637,images/54.png,第1サポート:16487下(-222124) / 第2サポート:21253下(-226890) / 第3サポート:24984下(-230621) / 第4サポート:28678下(-234315) / 最重要サポート:32063下(-237700),True,-205637.0,-193852.0,-212115.0,-198547.0,7090.0,陽線,的中
18,74,20260430,20260429,47.83,中,中立,陰線1連続後,75,-48635,images/74.png,第1サポート:3451下(-52086) / 第2サポート:6601下(-55236) / 第3サポート:9354下(-57989) / 第4サポート:15053下(-63688) / 最重要サポート:26323下(-74958),True,-48635.0,-32625.0,-48916.0,-34785.0,13850.0,陽線,的中
19,128,20260430,20260429,46.67,低,弱トレンド,陰線2連続後,23,-142226,images/128.png,第1サポート:272下(-142498),True,-142226.0,-142430.0,-171545.0,-161477.0,-19251.0,陰線,外れ
20,59,20260430,20260429,45.5,高,中立,陰線1連続後,75,-323057,images/59.png,第1サポート:4272下(-327329) / 第2サポート:14783下(-337840) / 第3サポート:28699下(-351756) / 第4サポート:33102下(-356159) / 最重要サポート:40237下(-363294),True,-323057.0,-323009.0,-331165.0,-328848.0,-5791.0,陰線,外れ
21,62,20260430,20260429,45.5,中,中立,陰線2連続後,45,-336397,images/62.png,第1サポート:1559下(-337956) / 第2サポート:5942下(-342339) / 第3サポート:17330下(-353727) / 第4サポート:22101下(-358498) / 最重要サポート:30156下(-366553),True,-336397.0,-334458.0,-347082.0,-334647.0,1750.0,陽線,的中
22,134,20260430,20260429,45.17,低,反発狙い,陰線3連続後,15,-258731,images/134.png,第1サポート:13317下(-272048) / 第2サポート:16482下(-275213) / 第3サポート:20672下(-279403) / 第4サポート:26943下(-285674) / 最重要サポート:40584下(-299315),True,-258731.0,-230567.0,-267302.0,-231248.0,27483.0,陽線,的中
23,69,20260430,20260429,44.98,中,中立,陽線1連続後,71,310790,images/69.png,第1サポート:9833下(300957) / 第2サポート:17741下(293049) / 第3サポート:30801下(279989) / 第4サポート:36994下(273796) / 最重要サポート:40913下(269877),True,310790.0,311973.0,304337.0,304431.0,-6359.0,陰線,外れ
24,51,20260430,20260429,44.75,中,中立,陽線1連続後,71,44643,images/51.png,第1サポート:4175下(40468) / 第2サポート:8371下(36272) / 第3サポート:12310下(32333) / 第4サポート:24065下(20578) / 最重要サポート:37777下(6866),True,44643.0,63423.0,41780.0,57367.0,12724.0,陽線,的中
25,65,20260430,20260429,44.72,低〜中,弱トレンド,陰線1連続後,72,-306830,images/65.png,第1サポート:19537下(-326367),True,-306830.0,-301014.0,-314489.0,-314395.0,-7565.0,陰線,外れ
26,39,20260430,20260429,44.5,低,反発狙い・要注意,陰線4連続後,14,-113489,images/39.png,第1サポート:4959下(-118448) / 第2サポート:16321下(-129810),True,-113489.0,-102268.0,-116305.0,-103864.0,9625.0,陽線,的中
27,129,20260430,20260429,44.5,低,反発狙い・要注意,陰線4連続後,8,-76247,images/129.png,第1サポート:13615下(-89862),True,-76247.0,-76153.0,-92021.0,-91833.0,-15586.0,陰線,外れ
28,52,20260430,20260429,43.24,低〜中,中立,陽線2連続後,27,-317648,images/52.png,第1サポート:3415下(-321063) / 第2サポート:8943下(-326591) / 第3サポート:13321下(-330969) / 第4サポート:18215下(-335863) / 最重要サポート:21501下(-339149),True,-317648.0,-317600.0,-325520.0,-325425.0,-7777.0,陰線,外れ
29,55,20260430,20260429,42.79,低〜中,中立,陽線1連続後,70,-28593,images/55.png,第1サポート:2244下(-30837) / 第2サポート:6760下(-35353) / 第3サポート:20162下(-48755) / 第4サポート:26327下(-54920) / 最重要サポート:41014下(-69607),True,-28593.0,-27103.0,-32280.0,-32186.0,-3593.0,陰線,外れ
30,45,20260430,20260429,42.5,低〜中,中立,陰線1連続後,75,-180989,images/45.png,第1サポート:8377下(-189366) / 第2サポート:13320下(-194309) / 第3サポート:21091下(-202080) / 第4サポート:25504下(-206493) / 最重要サポート:33487下(-214476),True,-180989.0,-173802.0,-186922.0,-183093.0,-2104.0,陰線,外れ
31,63,20260430,20260429,42.12,低,弱トレンド,陰線2連続後,42,-151764,images/63.png,第1サポート:5811下(-157575) / 第2サポート:15477下(-167241) / 第3サポート:20966下(-172730),True,-151764.0,-138618.0,-154064.0,-143266.0,8498.0,陽線,的中
32,48,20260430,20260429,41.5,高,中立,陰線1連続後,75,-287827,images/48.png,第1サポート:5436下(-293263) / 第2サポート:8161下(-295988) / 第3サポート:22990下(-310817) / 第4サポート:32251下(-320078) / 最重要サポート:37266下(-325093),True,-287827.0,-265514.0,-291024.0,-268099.0,19728.0,陽線,的中
33,146,20260430,20260429,41.5,中,中立,陰線2連続後,25,-225649,images/146.png,第1サポート:9436下(-235085) / 第2サポート:16573下(-242222) / 第3サポート:20427下(-246076) / 第4サポート:23299下(-248948) / 最重要サポート:35598下(-261247),True,-225649.0,-218249.0,-225790.0,-223497.0,2152.0,陽線,的中
34,50,20260430,20260429,40.94,低〜中,弱トレンド,陽線1連続後,71,-184366,images/50.png,第1サポート:10918下(-195284) / 第2サポート:13466下(-197832) / 第3サポート:19202下(-203568) / 第4サポート:27727下(-212093),True,-184366.0,-184318.0,-192474.0,-187108.0,-2742.0,陰線,外れ
35,60,20260430,20260429,40.56,低〜中,弱トレンド,陰線1連続後,64,-342435,images/60.png,第1サポート:21463下(-363898),True,-342435.0,-340604.0,-355251.0,-354641.0,-12206.0,陰線,外れ
36,117,20260430,20260429,40.17,低〜中,中立,陽線1連続後,36,-96917,images/117.png,第1サポート:2317下(-99234) / 第2サポート:10226下(-107143) / 第3サポート:16668下(-113585) / 第4サポート:19719下(-116636) / 最重要サポート:25669下(-122586),True,-96917.0,-96712.0,-121542.0,-121270.0,-24353.0,陰線,外れ
37,73,20260430,20260429,39.83,低,弱トレンド,陰線1連続後,75,-134856,images/73.png,第1サポート:4159下(-139015) / 第2サポート:9277下(-144133),True,-134856.0,-128685.0,-140600.0,-140506.0,-5650.0,陰線,外れ
38,122,20260430,20260429,39.6,中,中立,陰線2連続後,21,-180874,images/122.png,第1サポート:1923下(-182797) / 第2サポート:13603下(-194477) / 第3サポート:23026下(-203900) / 第4サポート:30041下(-210915) / 最重要サポート:33305下(-214179),True,-180874.0,-154071.0,-185091.0,-158697.0,22177.0,陽線,的中
39,71,20260430,20260429,39.37,低,弱トレンド,陰線1連続後,78,-233617,images/71.png,第1サポート:1903下(-235520) / 第2サポート:5659下(-239276),True,-233617.0,-228676.0,-243617.0,-230189.0,3428.0,陽線,的中
40,111,20260430,20260429,38.94,低,弱トレンド,陰線2連続後,18,-368215,images/111.png,第1サポート:188下(-368403),True,-368215.0,-367600.0,-381264.0,-381075.0,-12860.0,陰線,外れ
41,57,20260430,20260429,38.76,中,中立,陰線1連続後,77,-89610,images/57.png,第1サポート:7545下(-97155) / 第2サポート:16075下(-105685) / 第3サポート:20548下(-110158) / 第4サポート:29775下(-119385) / 最重要サポート:33110下(-122720),True,-89610.0,-72004.0,-92614.0,-74492.0,15118.0,陽線,的中
42,38,20260430,20260429,38.43,中,中立,陽線1連続後,82,-226347,images/38.png,第1サポート:2531下(-228878) / 第2サポート:10384下(-236731) / 第3サポート:13995下(-240342) / 第4サポート:28614下(-254961),True,-226347.0,-224857.0,-232564.0,-227174.0,-827.0,陰線,外れ
43,77,20260430,20260429,38.26,低〜中,弱トレンド,陰線1連続後,68,-322984,images/77.png,第1サポート:3732下(-326716) / 第2サポート:15725下(-338709) / 第3サポート:18427下(-341411),True,-322984.0,-322890.0,-333265.0,-333077.0,-10093.0,陰線,外れ
44,37,20260430,20260429,37.52,中,中立,陰線2連続後,41,-188396,images/37.png,第1サポート:4691下(-193087) / 第2サポート:15568下(-203964) / 第3サポート:20193下(-208589) / 第4サポート:24218下(-212614) / 最重要サポート:31469下(-219865),True,-188396.0,-188206.0,-197284.0,-188301.0,95.0,陽線,的中
45,68,20260430,20260429,37.36,低,弱トレンド,陰線1連続後,63,-3286,images/68.png,第1サポート:5616下(-8902) / 第2サポート:13615下(-16901),True,-3286.0,-3238.0,-11181.0,-7588.0,-4302.0,陰線,外れ
46,119,20260430,20260429,37.08,中,中立,陰線1連続後,38,-363093,images/119.png,第1サポート:9895下(-372988) / 第2サポート:22637下(-385730) / 第3サポート:29015下(-392108) / 第4サポート:34159下(-397252) / 最重要サポート:42701下(-405794),True,-363093.0,-363045.0,-366142.0,-366048.0,-2955.0,陰線,外れ
