rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,135,20260522,20260521,78.5,低〜中,反発狙い,陰線5連続後,5,-58863,images/135.png,第1サポート:4213下(-63076) / 第2サポート:11749下(-70612) / 第3サポート:16406下(-75269) / 第4サポート:25051下(-83914),True,-58863.0,-58815.0,-61841.0,-61747.0,-2884.0,陰線,外れ
2,110,20260522,20260521,64.32,高,順張り寄り,陽線2連続後,17,297250,images/110.png,第1サポート:4303下(292947) / 第2サポート:20104下(277146) / 第3サポート:22695下(274555) / 第4サポート:32677下(264573) / 最重要サポート:36274下(260976),True,297250.0,298149.0,287747.0,287842.0,-9408.0,陰線,外れ
3,137,20260522,20260521,61.17,低,反発狙い・要注意,陰線3連続後,9,-376688,images/137.png,第1サポート:94下(-376782),True,-376688.0,-375387.0,-384063.0,-383969.0,-7281.0,陰線,外れ
4,38,20260522,20260521,57.0,低,反発狙い・要注意,陰線4連続後,8,-234441,images/38.png,第1サポート:3626下(-238067) / 第2サポート:6502下(-240943) / 第3サポート:20520下(-254961),True,-234441.0,-234393.0,-241745.0,-241651.0,-7210.0,陰線,外れ
5,156,20260522,20260521,57.0,低,弱トレンド,陰線1連続後,8,-97042,images/156.png,第1サポート:5494下(-102536) / 第2サポート:21283下(-118325) / 第3サポート:33500下(-130542),True,-97042.0,-90469.0,-101581.0,-93897.0,3145.0,陽線,的中
6,121,20260522,20260521,55.64,低〜中,反発狙い,陰線3連続後,14,14321,images/121.png,第1サポート:11840下(2481) / 第2サポート:16093下(-1772) / 第3サポート:23369下(-9048) / 第4サポート:32687下(-18366) / 最重要サポート:35329下(-21008),True,14321.0,14369.0,12903.0,12998.0,-1323.0,陰線,外れ
7,50,20260522,20260521,55.5,中,中立,陽線3連続後,12,-212134,images/50.png,第1サポート:6484下(-218618) / 第2サポート:10883下(-223017) / 第3サポート:14718下(-226852) / 第4サポート:18395下(-230529) / 最重要サポート:23857下(-235991),True,-212134.0,-193589.0,-214434.0,-195326.0,16808.0,陽線,的中
8,117,20260522,20260521,55.5,高,順張り寄り,陰線1連続後,42,8098,images/117.png,第1サポート:3114下(4984) / 第2サポート:8271下(-173) / 第3サポート:23187下(-15089) / 第4サポート:47880下(-39782) / 最重要サポート:67066下(-58968),True,8098.0,8192.0,-2887.0,1807.0,-6291.0,陰線,外れ
9,122,20260522,20260521,51.64,低,反発狙い,陰線3連続後,14,-163678,images/122.png,第1サポート:8651下(-172329) / 第2サポート:21413下(-185091) / 第3サポート:25842下(-189520) / 第4サポート:31104下(-194782) / 最重要サポート:45359下(-209037),True,-163678.0,-163584.0,-176635.0,-176447.0,-12769.0,陰線,外れ
10,155,20260522,20260521,51.64,低,弱トレンド,陰線1連続後,7,-179869,images/155.png,第1サポート:1830下(-181699),True,-179869.0,-179664.0,-207351.0,-207079.0,-27210.0,陰線,外れ
11,108,20260522,20260521,51.5,低,弱トレンド,陽線3連続後,6,-223100,images/108.png,第1サポート:15154下(-238254) / 第2サポート:20128下(-243228) / 第3サポート:28214下(-251314) / 第4サポート:37138下(-260238) / 最重要サポート:45703下(-268803),True,-223100.0,-223006.0,-233381.0,-233193.0,-10093.0,陰線,外れ
12,57,20260522,20260521,51.21,高,中立,陽線2連続後,35,-3423,images/57.png,第1サポート:2932下(-6355) / 第2サポート:7975下(-11398) / 第3サポート:12791下(-16214) / 第4サポート:22547下(-25970) / 最重要サポート:29459下(-32882),True,-3423.0,5986.0,-11839.0,1566.0,4989.0,陽線,的中
13,40,20260522,20260521,50.61,低〜中,弱トレンド,陽線1連続後,71,117365,images/40.png,第1サポート:4793下(112572) / 第2サポート:11336下(106029) / 第3サポート:23556下(93809) / 第4サポート:27874下(89491) / 最重要サポート:32408下(84957),True,117365.0,124954.0,114718.0,123418.0,6053.0,陽線,的中
14,46,20260522,20260521,49.66,高,中立,陰線1連続後,77,-311371,images/46.png,第1サポート:1655下(-313026) / 第2サポート:8127下(-319498) / 第3サポート:18372下(-329743) / 第4サポート:21571下(-332942) / 最重要サポート:25352下(-336723),True,-311371.0,-304562.0,-312292.0,-304822.0,6549.0,陽線,的中
