rank,machine,target_date,base_date,prob,reliability,trade_type,method,sample_n,base_close,image,supports,found,open,high,low,close,diff,actual,hit
1,158,20260513,20260512,80.5,高,順張り寄り,陽線後,8,41803,images/158.png,第1サポート:4430下(37373) / 第2サポート:7808下(33995) / 第3サポート:13005下(28798) / 第4サポート:15587下(26216) / 最重要サポート:20354下(21449),True,41803.0,41851.0,32404.0,32498.0,-9305.0,陰線,外れ
2,40,20260513,20260512,58.44,高,中立,陽線1連続後,68,111011,images/40.png,第1サポート:3358下(107653) / 第2サポート:6679下(104332) / 第3サポート:16350下(94661) / 第4サポート:19524下(91487) / 最重要サポート:26054下(84957),True,111011.0,111059.0,103636.0,107347.0,-3664.0,陰線,外れ
3,71,20260513,20260512,52.41,高,中立,陰線1連続後,81,-168103,images/71.png,第1サポート:8813下(-176916) / 第2サポート:22672下(-190775) / 第3サポート:25760下(-193863) / 第4サポート:29567下(-197670) / 最重要サポート:33661下(-201764),True,-168103.0,-165147.0,-171696.0,-165242.0,2861.0,陽線,的中
4,122,20260513,20260512,52.17,高,中立,陰線1連続後,45,-139405,images/122.png,第1サポート:11441下(-150846) / 第2サポート:19301下(-158706) / 第3サポート:28273下(-167678) / 第4サポート:33532下(-172937) / 最重要サポート:45377下(-184782),True,-139405.0,-139357.0,-143163.0,-143069.0,-3664.0,陰線,外れ
5,69,20260513,20260512,52.08,高,中立,陽線1連続後,73,318889,images/69.png,第1サポート:8836下(310053) / 第2サポート:16152下(302737) / 第3サポート:20819下(298070) / 第4サポート:25098下(293791) / 最重要サポート:28612下(290277),True,318889.0,318937.0,314492.0,317637.0,-1252.0,陰線,外れ
6,44,20260513,20260512,51.5,高,中立,陽線1連続後,72,67776,images/44.png,第1サポート:2965下(64811) / 第2サポート:5715下(62061) / 第3サポート:12424下(55352) / 第4サポート:18739下(49037) / 最重要サポート:22939下(44837),True,67776.0,67870.0,56650.0,56838.0,-10938.0,陰線,外れ
7,66,20260513,20260512,51.0,高,中立,陰線1連続後,80,-166209,images/66.png,第1サポート:3714下(-169923) / 第2サポート:6314下(-172523) / 第3サポート:10784下(-176993) / 第4サポート:14887下(-181096) / 最重要サポート:19312下(-185521),True,-166209.0,-158431.0,-167911.0,-166539.0,-330.0,陰線,外れ
8,51,20260513,20260512,49.5,高,中立,陽線1連続後,75,59883,images/51.png,第1サポート:1674下(58209) / 第2サポート:8759下(51124) / 第3サポート:12732下(47151) / 第4サポート:17593下(42290) / 最重要サポート:21082下(38801),True,59883.0,60088.0,38319.0,38591.0,-21292.0,陰線,外れ
9,75,20260513,20260512,49.4,高,中立,陽線1連続後,82,9894,images/75.png,第1サポート:7918下(1976) / 第2サポート:16817下(-6923) / 第3サポート:22116下(-12222) / 第4サポート:32884下(-22990) / 最重要サポート:36761下(-26867),True,9894.0,9942.0,6136.0,6230.0,-3664.0,陰線,外れ
10,137,20260513,20260512,49.23,低〜中,弱トレンド,陰線1連続後,44,-336326,images/137.png,第1サポート:3347下(-339673) / 第2サポート:12963下(-349289) / 第3サポート:18363下(-354689) / 第4サポート:21189下(-357515) / 最重要サポート:26134下(-362460),True,-336326.0,-336278.0,-342779.0,-342685.0,-6359.0,陰線,外れ
11,110,20260513,20260512,48.5,中,中立,陰線1連続後,32,266157,images/110.png,第1サポート:1584下(264573) / 第2サポート:7240下(258917) / 第3サポート:20833下(245324) / 第4サポート:39633下(226524) / 最重要サポート:45782下(220375),True,266157.0,266205.0,257150.0,257245.0,-8912.0,陰線,外れ
12,59,20260513,20260512,48.36,高,中立,陽線1連続後,77,-324833,images/59.png,第1サポート:3069下(-327902) / 第2サポート:7978下(-332811) / 第3サポート:12024下(-336857) / 第4サポート:17161下(-341994) / 最重要サポート:21091下(-345924),True,-324833.0,-324739.0,-335818.0,-332391.0,-7558.0,陰線,外れ
13,117,20260513,20260512,48.0,高,中立,陽線1連続後,40,-49939,images/117.png,第1サポート:12388下(-62327) / 第2サポート:20443下(-70382) / 第3サポート:25811下(-75750) / 第4サポート:34694下(-84633) / 最重要サポート:46199下(-96138),True,-49939.0,-25993.0,-50279.0,-31027.0,18912.0,陽線,的中
14,34,20260513,20260512,46.45,低,弱トレンド,陰線1連続後,77,-78300,images/34.png,第1サポート:1040下(-79340),True,-78300.0,-78229.0,-81633.0,-81538.0,-3238.0,陰線,外れ
15,63,20260513,20260512,46.01,高,中立,陽線1連続後,79,-101702,images/63.png,第1サポート:3005下(-104707) / 第2サポート:9784下(-111486) / 第3サポート:12474下(-114176) / 第4サポート:21500下(-123202) / 最重要サポート:26700下(-128402),True,-101702.0,-101654.0,-107021.0,-106926.0,-5224.0,陰線,外れ
16,70,20260513,20260512,45.74,高,中立,陽線1連続後,82,50250,images/70.png,第1サポート:2223下(48027) / 第2サポート:5627下(44623) / 第3サポート:15705下(34545) / 第4サポート:29341下(20909) / 最重要サポート:32699下(17551),True,50250.0,51291.0,42804.0,42898.0,-7352.0,陰線,外れ
17,129,20260513,20260512,45.5,高,中立,陽線1連続後,35,-34434,images/129.png,第1サポート:2795下(-37229) / 第2サポート:11941下(-46375) / 第3サポート:23675下(-58109) / 第4サポート:27191下(-61625) / 最重要サポート:31699下(-66133),True,-34434.0,-23072.0,-37673.0,-23260.0,11174.0,陽線,的中
18,111,20260513,20260512,45.25,低〜中,弱トレンド,陽線1連続後,32,-417446,images/111.png,第1サポート:16815下(-434261) / 第2サポート:33137下(-450583) / 第3サポート:37075下(-454521) / 第4サポート:57872下(-475318),True,-417446.0,-417352.0,-428431.0,-428244.0,-10798.0,陰線,外れ
19,49,20260513,20260512,44.54,低〜中,弱トレンド,陽線1連続後,79,-120724,images/49.png,第1サポート:8445下(-129169) / 第2サポート:11456下(-132180) / 第3サポート:18075下(-138799) / 第4サポート:22263下(-142987),True,-120724.0,-120630.0,-131146.0,-121522.0,-798.0,陰線,外れ
20,58,20260513,20260512,44.5,低,弱トレンド,陽線1連続後,66,-403348,images/58.png,第1サポート:11131下(-414479) / 第2サポート:17371下(-420719),True,-403348.0,-401882.0,-423206.0,-423017.0,-19669.0,陰線,外れ
21,133,20260513,20260512,44.5,低,弱トレンド,陰線1連続後,38,-59486,images/133.png,第1サポート:3219下(-62705) / 第2サポート:15313下(-74799) / 第3サポート:28038下(-87524) / 第4サポート:41129下(-100615),True,-59486.0,-59438.0,-66365.0,-66270.0,-6784.0,陰線,外れ
22,38,20260513,20260512,44.48,中,中立,陰線1連続後,87,-215036,images/38.png,第1サポート:3586下(-218622) / 第2サポート:7172下(-222208) / 第3サポート:11540下(-226576) / 第4サポート:14901下(-229937) / 最重要サポート:23056下(-238092),True,-215036.0,-211111.0,-217565.0,-214799.0,237.0,陽線,的中
23,50,20260513,20260512,44.17,中,中立,陽線1連続後,75,-200002,images/50.png,第1サポート:3566下(-203568) / 第2サポート:12999下(-213001) / 第3サポート:18728下(-218730) / 第4サポート:25011下(-225013) / 最重要サポート:33967下(-233969),True,-200002.0,-199954.0,-204682.0,-204588.0,-4586.0,陰線,外れ
24,67,20260513,20260512,43.39,低〜中,弱トレンド,陽線1連続後,74,-500510,images/67.png,第1サポート:5072下(-505582) / 第2サポート:8269下(-508779) / 第3サポート:12694下(-513204) / 第4サポート:18216下(-518726) / 最重要サポート:24728下(-525238),True,-500510.0,-500462.0,-507247.0,-506231.0,-5721.0,陰線,外れ
25,74,20260513,20260512,43.09,中,中立,陽線1連続後,74,-14300,images/74.png,第1サポート:3856下(-18156) / 第2サポート:8260下(-22560) / 第3サポート:14421下(-28721) / 第4サポート:19792下(-34092) / 最重要サポート:31846下(-46146),True,-14300.0,-14206.0,-28196.0,-26224.0,-11924.0,陰線,外れ
26,113,20260513,20260512,42.98,低〜中,中立,陰線1連続後,33,185050,images/113.png,第1サポート:2265下(182785) / 第2サポート:6189下(178861) / 第3サポート:20290下(164760) / 第4サポート:29500下(155550) / 最重要サポート:35315下(149735),True,185050.0,185949.0,179093.0,179188.0,-5862.0,陰線,外れ
27,39,20260513,20260512,42.26,低,弱トレンド,陽線1連続後,67,-127582,images/39.png,第1サポート:8505下(-136087),True,-127582.0,-127488.0,-146596.0,-146408.0,-18826.0,陰線,外れ
